时间,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,
2025-08-31 12:03:10.731	,1550.310059,0,0,
2025-08-31 12:03:20.731	,1547.849854,0,0,1550.327759,0,0,
2025-08-31 12:03:30.731	,1550.294189,0,0,
2025-08-31 12:03:40.731	,1550.306641,0,0,
2025-08-31 12:03:50.731	,1550.339478,0,0,
2025-08-31 12:04:00.731	,1550.304321,0,0,
2025-08-31 12:04:10.732	,1550.696777,0,0,
2025-08-31 12:04:20.732	,1548.906982,0,0,1550.346924,0,0,
2025-08-31 12:04:30.731	,1550.293091,0,0,
2025-08-31 12:04:40.731	,1550.278931,0,0,1552.697998,0,0,
2025-08-31 12:04:50.731	,1550.282715,0,0,1552.740479,0,0,
2025-08-31 12:05:00.731	,1550.713623,0,0,1552.746460,0,0,
2025-08-31 12:05:10.731	,1550.295410,0,0,1551.456177,0,0,1552.671265,0,0,
2025-08-31 12:05:20.731	,1550.357300,0,0,1551.493042,0,0,1552.758911,0,0,
2025-08-31 12:05:30.731	,1550.322632,0,0,1551.487305,0,0,1553.381592,0,0,
2025-08-31 12:05:40.731	,1550.295288,0,0,1552.739624,0,0,1553.376221,0,0,
2025-08-31 12:05:50.731	,1550.338867,0,0,1553.386597,0,0,
2025-08-31 12:06:00.731	,1550.298828,0,0,1550.709351,0,0,1552.252686,0,0,1552.732422,0,0,1553.383301,0,0,
2025-08-31 12:06:10.731	,1552.745605,0,0,1553.367310,0,0,
2025-08-31 12:06:20.731	,1552.748535,0,0,1553.394531,0,0,
2025-08-31 12:06:30.731	,1553.408447,0,0,
2025-08-31 12:06:40.731	,1552.760986,0,0,1553.966431,0,0,
